Value,Percentile
96.7383, 0.0027732
120.781, 0.0027732
144.845, 0.0029045
153.764, 0.0032815
159.703, 0.12349
173.691, 0.12452
216.863, 0.12569
262.697, 0.12490
304.292, 0.12487
318.464, 0.21330
359.178, 0.21819
448.461, 0.21740
527.032, 0.22374
685.138, 0.23736
831.621, 0.25472
972.677, 0.27351
1066.7, 0.30098
1265.05, 0.32358
1539.07, 0.34507
1699.02, 0.36519
1841.87, 0.38550
1946.62, 0.39916
2234.37, 0.42421
2600.45, 0.44556
2877.75, 0.46481
3286.53, 0.48697
3552.05, 0.49931
3927.04, 0.51435
4567.45, 0.53920
5132.29, 0.56020
5877.96, 0.58139
6629.79, 0.59907
8118.27, 0.62597
9637.58, 0.64568
11674.6, 0.66568
14284.8, 0.68369
16789.5, 0.69899
19956.7, 0.71224
25391.1, 0.73301
31702, 0.75022
39582.7, 0.76610
49421.3, 0.78039
61540.4, 0.79372
77668.4, 0.80548
96194.6, 0.81398
120105, 0.81924
149965, 0.82668
181647, 0.84255
211333, 0.86337
245873, 0.88161
277002, 0.90125
319631, 0.92681
350024, 0.94768
399084, 0.97088
483430, 0.98428
573891, 0.98950
808786, 0.99272
1357824, 0.99672
2490780, 0.99810
19599360, 0.99948
